file	model	utmos_ref	utmos	pesq_wb	estoi	mcd_db	seconds
07061321_v069_5e0a9e43bd.flac	plus_cb	2.7954	2.6191	3.4768	0.9798	2.8561	1.28
07061321_v069_5e0a9e43bd.flac	plus_cba	2.7954	2.6329	3.2814	0.9809	2.885	1.28
07061321_v069_5e0a9e43bd.flac	vocos_pretrained_en	2.7954	2.5228	3.2506	0.9783	3.2456	1.28
07061321_v069_5e0a9e43bd.flac	bigvgan_v2	2.7954	2.8536	4.3831	0.9958	3.5163	1.28
01134166_v020_09a36444d6.flac	baseline	2.9385	2.7754	3.7418	0.9693	2.1196	2.72
01134166_v020_09a36444d6.flac	plus_c	2.9385	2.6349	3.9028	0.9672	2.0553	2.72
01134166_v020_09a36444d6.flac	plus_cb	2.9385	2.9078	3.7638	0.9682	2.1243	2.72
01134166_v020_09a36444d6.flac	plus_cba	2.9385	2.6242	3.6953	0.9588	2.0903	2.72
01134166_v020_09a36444d6.flac	vocos_pretrained_en	2.9385	2.7162	3.7268	0.9688	2.3673	2.72
01134166_v020_09a36444d6.flac	bigvgan_v2	2.9385	2.9121	4.4179	0.993	2.0427	2.72
03674716_v050_fa1c7d3acd.flac	baseline	2.9308	2.8576	3.2271	0.934	2.1248	6.72
03674716_v050_fa1c7d3acd.flac	plus_c	2.9308	2.8161	3.1884	0.9306	2.0521	6.72
03674716_v050_fa1c7d3acd.flac	plus_cb	2.9308	2.9272	3.3882	0.9369	2.0466	6.72
03674716_v050_fa1c7d3acd.flac	plus_cba	2.9308	2.8803	3.1965	0.934	2.1804	6.72
03674716_v050_fa1c7d3acd.flac	vocos_pretrained_en	2.9308	2.7904	2.7505	0.9234	2.4926	6.72
03674716_v050_fa1c7d3acd.flac	bigvgan_v2	2.9308	3.0425	4.4801	0.99	2.3847	6.72
07654082_v048_2e4a841a4f.flac	baseline	2.6159	2.6342	3.1221	0.9615	2.9032	3.68
07654082_v048_2e4a841a4f.flac	plus_c	2.6159	2.4194	3.7587	0.9689	3.0077	3.68
07654082_v048_2e4a841a4f.flac	plus_cb	2.6159	2.6097	3.5068	0.967	3.1494	3.68
07654082_v048_2e4a841a4f.flac	plus_cba	2.6159	2.4949	3.5535	0.9691	3.177	3.68
07654082_v048_2e4a841a4f.flac	vocos_pretrained_en	2.6159	2.5583	2.9226	0.9513	3.4605	3.68
07654082_v048_2e4a841a4f.flac	bigvgan_v2	2.6159	2.7153	4.483	0.9969	3.353	3.68
00393286_v039_feacc55c56.flac	baseline	2.8845	2.6523	3.3595	0.9796	3.2147	3.36
00393286_v039_feacc55c56.flac	plus_c	2.8845	2.6141	3.9152	0.9761	3.1791	3.36
00393286_v039_feacc55c56.flac	plus_cb	2.8845	2.7289	3.691	0.9781	3.1618	3.36
00393286_v039_feacc55c56.flac	plus_cba	2.8845	2.6325	3.9925	0.9796	3.1766	3.36
00393286_v039_feacc55c56.flac	vocos_pretrained_en	2.8845	2.3196	3.6113	0.9702	3.5064	3.36
00393286_v039_feacc55c56.flac	bigvgan_v2	2.8845	2.9147	4.5081	0.9962	4.418	3.36
00782004_v007_a3d916ea71.flac	baseline	2.6481	2.4982	3.9677	0.9789	2.7302	8.32
00782004_v007_a3d916ea71.flac	plus_c	2.6481	2.6329	3.9466	0.9817	2.6937	8.32
00782004_v007_a3d916ea71.flac	plus_cb	2.6481	2.5126	4.0145	0.9809	2.7478	8.32
00782004_v007_a3d916ea71.flac	plus_cba	2.6481	2.4716	3.8831	0.9769	2.8001	8.32
00782004_v007_a3d916ea71.flac	vocos_pretrained_en	2.6481	2.5559	3.7191	0.9766	2.9869	8.32
00782004_v007_a3d916ea71.flac	bigvgan_v2	2.6481	2.7301	4.2933	0.9949	2.6586	8.32
06073637_v079_f0c3ad7624.flac	baseline	2.8483	2.7149	2.9116	0.9481	2.7946	9.92
06073637_v079_f0c3ad7624.flac	plus_c	2.8483	2.5429	3.0311	0.9395	3.0569	9.92
06073637_v079_f0c3ad7624.flac	plus_cb	2.8483	2.4736	2.9455	0.9336	3.1399	9.92
